Exercice,Nom 2024 Commune,Nom 2024 Département,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant
2024,Petit-Bourg,Guadeloupe,Concours de l'Etat,6574065.0,6.574065,24560,267.6736563517915
2024,Petit-Canal,Guadeloupe,Concours de l'Etat,2115628.75,2.11562875,8325,254.1295795795796
2024,Pointe-à-Pitre,Guadeloupe,Concours de l'Etat,9811174.0,9.811174,14576,673.1046926454445
2024,Pointe-à-Pitre,Guadeloupe,Concours de l'Etat,0.0,0.0,14576,0.0
2024,Pointe-Noire,Guadeloupe,Concours de l'Etat,1482202.59,1.48220259,6012,246.54068363273456
2024,Port-Louis,Guadeloupe,Concours de l'Etat,1483958.09,1.48395809,5655,262.4152236958444
2024,Saint-Claude,Guadeloupe,Concours de l'Etat,2711375.66,2.7113756600000003,10900,248.75006055045876
2024,Saint-François,Guadeloupe,Concours de l'Etat,4504824.14,4.504824139999999,13150,342.572177946768
2024,Saint-Louis,Guadeloupe,Concours de l'Etat,1108738.0,1.108738,2561,432.9316673174541
2024,Sainte-Anne,Guadeloupe,Concours de l'Etat,6763626.72,6.76362672,24518,275.86372134758136
2024,Sainte-Rose,Guadeloupe,Concours de l'Etat,5591005.0,5.591005,17878,312.73101018010965
2024,Sainte-Rose,Guadeloupe,Concours de l'Etat,0.0,0.0,17878,0.0
2024,Terre-de-Bas,Guadeloupe,Concours de l'Etat,218607.0,0.218607,937,233.3052294557097
2024,Terre-de-Haut,Guadeloupe,Concours de l'Etat,377677.0,0.377677,1544,244.60945595854923
2024,Trois-Rivières,Guadeloupe,Concours de l'Etat,1855595.0,1.855595,7763,239.03065825067628
2024,Vieux-Fort,Guadeloupe,Concours de l'Etat,312873.0,0.312873,1816,172.28689427312776
2024,Vieux-Habitants,Guadeloupe,Concours de l'Etat,1786365.0,1.786365,7191,248.41677096370464
2024,Vieux-Habitants,Guadeloupe,Concours de l'Etat,0.0,0.0,7191,0.0
2024,Les Abymes,Guadeloupe,Autres dotations de fonctionnement,15201.86,0.01520186,52586,0.2890856882059864
2024,Anse-Bertrand,Guadeloupe,Autres dotations de fonctionnement,21392.0,0.021392,4107,5.208668127587046
2024,Baie-Mahault,Guadeloupe,Autres dotations de fonctionnement,238711.48,0.23871148,31370,7.60954670066943
2024,Baillif,Guadeloupe,Autres dotations de fonctionnement,163.0,0.000163,5127,0.0317924712307392
2024,Basse-Terre,Guadeloupe,Autres dotations de fonctionnement,31457.48,0.03145748,9973,3.1542645141883083
2024,Bouillante,Guadeloupe,Autres dotations de fonctionnement,163.0,0.000163,6729,0.0242235101798186
2024,Capesterre-de-Marie-Galante,Guadeloupe,Autres dotations de fonctionnement,333.0,0.000333,3226,0.1032238065716057
2024,La Désirade,Guadeloupe,Autres dotations de fonctionnement,3613.59,0.00361359,1420,2.5447816901408453
2024,Deshaies,Guadeloupe,Autres dotations de fonctionnement,14163.0,0.014163,3976,3.562122736418511
2024,Grand-Bourg,Guadeloupe,Autres dotations de fonctionnement,1081.35,0.0010813499999999,4813,0.2246727612715562
